,,,,TI210513A1,TI210511A,TI210504A,TI210520A2,TI210520A3,H207812,H207821,H207832,H207834,H207836,H207840
,,,,2021-05-13,2021-05-11,2021-05-04,2021-05-20,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-19,2021-06-24,2021-07-01
,,,,2021-05-26,2021-05-28,2021-05-31,2021-06-02,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16
013CH271I-08C SP/182,¶ÊÞ°,3,1,,,,,,,,,,,,,,,
013CH271I-09C SP/182,¶ÊÞ°,2,0,,,,,,,,,,,,,,,
013CH271I-17C SP/182,¶ÊÞ°,1,0,,,,,,,,,,,,,,,
013CH271-35C SP/182,¶ÊÞ°,14,1,,,,,,,,,,,,,,,
013CH271-37C SP/182,¶ÊÞ°,0,2,,,,,,,,,,,,,,,
013CH271I-41C SP/182,¶ÊÞ°,2,0,,,,,,,,,,,,,,,
013CH271I-42C SP/182,¶ÊÞ°,5,0,,,,,,,,,,,,,,,
013CH271I-49C SP/182,¶ÊÞ°,1,0,,,,,,,,,,,,,,,
013CH271I-50C SP/182,¶ÊÞ°,3,1,,,,,,,,,,,,,,,
013CH271I-03C SP/183,¶ÊÞ°,7,5,,,,,,,,,,,,,,,
013CH271I-08C SP/183,¶ÊÞ°,7,3,,,,,,,,,,,,,,,
013CH271I-09C SP/183,¶ÊÞ°,7,4,,,,,,,,,,,,,,,
013CH271I-17C SP/183,¶ÊÞ°,7,3,,,,,,,,,,,,,,,
013CH271-35C SP/183,¶ÊÞ°,7,4,,,,,,,,,,,,,,,
013CH271-37C SP/183,¶ÊÞ°,91,34,,,,,,,,,,,,,,,
013CH271I-41C SP/183,¶ÊÞ°,4,2,,,,,,,,,,,,,,,
013CH271I-42C SP/183,¶ÊÞ°,1,3,,,,,,,,,,,,,,,
013CH271I-49C SP/183,¶ÊÞ°,8,6,,,,,,,,,,,,,,,
013CH271I-50C SP/183,¶ÊÞ°,4,6,,,,,,,,,,,,,,,
013CH271I-03C SP/184,¶ÊÞ°,2,0,,,,,,,,,,,,,,,
013CH271I-08C SP/184,¶ÊÞ°,2,0,,,,,,,,,,,,,,,
013CH271I-09C SP/184,¶ÊÞ°,2,1,,,,,,,,,,,,,,,
013CH271I-17C SP/184,¶ÊÞ°,3,0,,,,,,,,,,,,,,,
013CH271-35C SP/184,¶ÊÞ°,2,3,,,,,,,,,,,,,,,
013CH271-37C SP/184,¶ÊÞ°,2,2,,,,,,,,,,,,,,,
013CH271I-41C SP/184,¶ÊÞ°,2,0,,,,,,,,,,,,,,,
013CH271I-42C SP/184,¶ÊÞ°,2,0,,,,,,,,,,,,,,,
013CH271I-49C SP/184,¶ÊÞ°,4,1,,,,,,,,,,,,,,,
013CH271I-50C SP/184,¶ÊÞ°,1,0,,,,,,,,,,,,,,,
013CH1069-02C SP/176,INCOON,3,0,,,,,,,,,,,,,,,
013CH1069-03C SP/176,INCOON,0,0,,,,,,,,,,,,,,,
013CH1069-59C SP/176,INCOON,1,0,,,,,,,,,,,,,,,
013CH1069-02C SP/178,INCOON,0,0,,,,,,,,,,,,,,,
013CH1069-03C SP/178,INCOON,1,0,,,,,,,,,,,,,,,
013CH1069-59C SP/178,INCOON,1,0,,,,,,,,,,,,,,,
013CH1069-02C SP/197,INCOON,3,0,,,,,,,,,,,,,,,
013CH1069-03C SP/197,INCOON,4,2,,,,,,,,,,,,,,,
013CH1069-59C SP/197,INCOON,3,2,,,,,,,,,,,,,,,
013CH1069-02C SP/198,INCOON,0,0,,,,,,,,,,,,,,,
013CH1069-03C SP/198,INCOON,8,2,,,,,,,,,,,,,,,
013CH1069-59C SP/198,INCOON,2,2,,,,,,,,,,,,,,,
013CH1070-03C SN/02,INCOON,7,1,,,,,,,,,,,,,,,
013CH1070-03LC SN/02,INCOON,5,3,,,,,,,,,,,,,,,
013CH1070-17C SN/02,INCOON,4,4,,,,,,,,,,,,,,,
013CH1070-03C SN/03,INCOON,8,3,,,,,,,,,,,,,,,
013CH1070-03LC SN/03,INCOON,11,2,,,,,,,,,,,,,,,
013CH1070-17C SN/03,INCOON,9,3,,,,,,,,,,,,,,,
013CH1070-17C SP/176,INCOON,2,0,,,,,,,,,,,,,,,
013CH1070-17C SP/178,INCOON,2,0,,,,,,,,,,,,,,,
013CH1070-03C SP/180,INCOON,7,0,,,,,,,,,,,,,,,
013CH1070-03LC SP/180,INCOON,4,1,,,,,,,,,,,,,,,
013CH1070-17C SP/180,INCOON,8,1,,,,,,,,,,,,,,,
013CH1070-03C SP/183,INCOON,8,2,,,,,,,,,,,,,,,
013CH1070-03LC SP/183,INCOON,5,6,,,,,,,,,,,,,,,
013CH1070-17C SP/183,INCOON,1,8,,,,,,,,,,,,,,,
013CH1070-17C SP/197,INCOON,1,0,,,,,,,,,,,,,,,
