180,2019-09-17,H207567,Vessel,Nagoya Port,The address listed above,2019-10-31,To Hukla Japan/Nanno ,2019-11-13
181,2019-09-19,H207568,Vessel,Nagoya Port,The address listed above,2019-09-26,To Hukla Japan/Nanno ,2019-09-26
182,2019-09-23,H207569,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-09-27,For Hukla Japan/Nanno Fac.,
183,2019-09-23,H207570,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-09-27,For Hukla Japan/Nanno Fac.,
184,2019-09-23,H207571,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-09-23,For Hukla Japan/Nanno Fac.,
186,2019-09-24,H207572,Vessel,HAKATA Port,The address listed above,2019-11-02,for f-grip Direct,2019-11-15
187,2019-09-24,H207573,Vessel,HAKATA Port,The address listed above,2019-11-09,To NIC Hakata Direct,2019-11-25
188,2019-09-24,H207574,Vessel,NAGOYA Port,The address listed above,2019-11-14,To Fujiei NAGOYA Direct ,2019-11-21
190,2019-09-24,H207575,Vessel,HAKATA Port,The address listed above,2019-11-12,To Fukuhaku Direct,2019-11-22
191,2019-09-24,H207576,Vessel,Nagoya Port,The address listed above,2019-11-07,To Hukla Japan/Nanno ,2019-11-20
192,2019-09-26,H207577,Vessel,Nagoya Port,The address listed above,2019-10-17,To Hukla Japan/Nanno ,2019-10-30
193,2019-09-30,H207578,Vessel,Nagoya Port,The address listed above,2019-10-17,To Hukla Japan/Nanno ,2019-11-13
196,2019-10-01,H207579,Vessel,OSAKA Port,The address listed above,2019-11-15,To Fujishi Osaka Direct,2019-11-25
197,2019-10-01,H207580,Vessel,Nagoya Port,The address listed above,2019-11-16,To Hukla Japan/Nanno ,2019-11-29
198,2019-10-04,H207581,Vessel,Nagoya Port,The address listed above,2019-10-24,To Hukla Japan/Nanno ,
199,2019-10-07,H207582,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-10-07,For Hukla Japan/Nanno Fac.,
200,2019-10-08,H207583,Vessel,NAGOYA Port,The address listed above,2019-11-19,To Fujikoshi NAGOYA Direct,2019-11-28
201,2019-10-10,H207584,Vessel,Nagoya Port,The address listed above,2019-10-17,To Hukla Japan/Nanno ,
202,2019-10-10,H207585,Vessel,Nagoya Port,The address listed above,2019-10-24,To Hukla Japan/Nanno ,
205,2019-10-15,H207586,Vessel,Nagoya Port,The address listed above,2019-11-21,To Hukla Japan/Nanno ,2019-12-06
206,2019-10-24,H207587,Vessel,Nagoya Port,The address listed above,2019-11-30,To Hukla Japan/Nanno ,2019-12-11
207,2019-10-24,H207588,Vessel,HAKATA Port,The address listed above,2019-11-30,To Livinghouse Hakata Direct,2019-12-12
208,2019-10-24,H207589,Vessel,NAGOYA Port,The address listed above,2019-11-30,To NIC Nagoya Direct,2019-12-13
210,2019-10-25,H207590,Vessel,HAKATA Port,The address listed above,2019-11-30,for f-grip Direct,2019-12-15
211,2019-10-28,H207591,Vessel,Nagoya Port,The address listed above,2019-10-28,To Hukla Japan/Nanno ,
212,2019-10-29,H207592,Vessel,Nagoya Port,The address listed above,2019-12-05,To Hukla Japan/Nanno ,2019-12-18
213,2019-10-30,H207593,Vessel,MOJI Port,The address listed above,2019-12-07,To NAFCO Moji Direct,2019-12-18
214,2019-10-30,H207594,Vessel,MOJI Port,The address listed above,2019-12-07,To NAFCO Moji Direct,2019-12-19
215,2019-10-30,H207595,Vessel,MOJI Port,The address listed above,2019-12-07,To NAFCO Moji Direct,2019-12-27
216,2019-10-31,H207596,Vessel,OSAKA Port,The address listed above,2019-12-19,To Fujishi Osaka Direct,2020-01-08
217,2019-11-01,H207597,Vessel,HAKATA Port,The address listed above,2019-12-28,To Livinghouse Hakata Direct,2020-01-14
218,2019-11-01,H207598,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-11-01,For Hukla Japan/Nanno Fac.,
219,2019-11-05,H207599,Vessel,Nagoya Port,The address listed above,2019-12-12,To Hukla Japan/Nanno ,2019-12-25
220,2019-11-11,H207601,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-11-11,For Hukla Japan/Nanno Fac.,
222,2019-11-12,H207602,Vessel,Nagoya Port,The address listed above,2019-12-19,To Hukla Japan/Nanno ,2020-01-06
223,2019-11-13,H207603,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-12-04,For Hukla Japan/Nanno Fac.,2019-12-04
225,2019-11-19,H207605,Vessel,Nagoya Port,The address listed above,2019-12-26,To Hukla Japan/Nanno ,2020-01-10
226,2019-11-26,H207608,Vessel,Nagoya Port,The address listed above,2020-01-09,To Hukla Japan/Nanno ,2020-01-22
227,2019-11-28,H207609,Vessel,Nagoya Port,The address listed above,2020-01-09,To Hukla Japan/Nanno ,2020-01-24
228,2019-11-29,H207610,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-12-13,For Hukla Japan/Nanno Fac.,
229,2019-12-03,H207611,Vessel,Nagoya Port,The address listed above,2020-01-16,To Hukla Japan/Nanno ,2020-01-31
230,2019-12-03,H207612,Vessel,HAKATA Port,The address listed above,2020-01-18,for f-grip Direct,2020-01-30
231,2019-12-06,H207613,Vessel,NAGOYA Port,The address listed above,2020-01-16,To Fujikoshi NAGOYA Direct,2020-01-24
232,2019-12-10,H207614,Vessel,Nagoya Port,The address listed above,2020-01-23,To Hukla Japan/Nanno ,2020-02-07
233,2019-12-10,H207615,Vessel,HAKATA Port,The address listed above,2020-01-25,To Fukuhaku Direct,2020-02-01
234,2019-12-11,H207616,DHL(Courier), Fukuoka air-port,Fukuhaku-Konpo Inc.,2019-12-18,For Hukla Japan/Nanno Fac.,
235,2019-12-17,H207617,Vessel,Nagoya Port,The address listed above,2020-02-08,To Hukla Japan/Nanno ,2020-03-16
236,2019-12-17,H207618,Vessel,Nagoya Port,The address listed above,2020-01-16,To Hukla Japan/Nanno ,2020-02-05
237,2019-12-19,H207619,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-12-26,For Hukla Japan/Nanno Fac.,
